key,positive_count,negative_count,total_count,pos_minus_neg_count
software,435,214,649,221
enterprise software,227,95,322,132
mobile,360,235,595,125
advertising,227,122,349,105
analytics,155,53,208,102
finance,147,71,218,76
saas,121,45,166,76
e-commerce,232,167,399,65
video,84,31,115,53
cloud computing,99,47,146,52
social media,249,202,451,47
big data,56,12,68,44
education,96,53,149,43
security,53,14,67,39
content,51,17,68,34
health and wellness,54,21,75,33
games,138,106,244,32
music,65,34,99,31
technology,52,21,73,31
search,81,51,132,30
clean technology,43,13,56,30
collaboration,47,19,66,28
internet,77,50,127,27
apps,82,58,140,24
travel,62,39,101,23
crowdsourcing,33,10,43,23
startups,55,33,88,22
marketplaces,51,29,80,22
retail,44,22,66,22
local,39,17,56,22
sales and marketing,66,45,111,21
hardware ,37,16,53,21
 software,37,16,53,21
health care,29,8,37,21
media,41,22,63,19
databases,29,10,39,19
business intelligence,28,9,37,19
crm,31,13,44,18
digital media,26,8,34,18
facebook applications,55,38,93,17
payments,28,11,39,17
developer apis,23,6,29,17
big data analytics,21,4,25,17
internet marketing,32,16,48,16
television,32,16,48,16
social media marketing,26,10,36,16
open source,23,7,30,16
ios,37,22,59,15
biotechnology,17,2,19,15
photography,45,31,76,14
enterprises,28,14,42,14
productivity software,21,7,28,14
customer service,18,4,22,14
reviews and recommendations,35,22,57,13
publishing,35,22,57,13
automotive,22,9,31,13
b2b,21,8,29,13
blogging platforms,21,8,29,13
personalization,20,7,27,13
seo,29,17,46,12
real time,28,16,44,12
peer-to-peer,19,7,26,12
android,65,54,119,11
real estate,27,16,43,11
brand marketing,27,16,43,11
photo sharing,17,6,23,11
trading,15,4,19,11
predictive analytics,14,3,17,11
fashion,49,39,88,10
cloud data services,12,2,14,10
web development,53,44,97,9
news,49,40,89,9
design,29,20,49,9
email,25,16,41,9
hotels,17,8,25,9
storage,14,5,19,9
billing,13,4,17,9
mobile payments,13,4,17,9
sustainability,11,2,13,9
flash sales,11,2,13,9
ad targeting,10,1,11,9
messaging,56,48,104,8
web tools,21,13,34,8
business services,18,10,28,8
optimization,16,8,24,8
information technology,15,7,22,8
app marketing,14,6,20,8
wireless,13,5,18,8
app stores,12,4,16,8
monetization,11,3,14,8
task management,9,1,10,8
systems,9,1,10,8
subscription businesses,8,0,8,8
services,18,11,29,7
semantic search,14,7,21,7
local search,13,6,19,7
mobile commerce,13,6,19,7
video games,11,4,15,7
marketing automation,11,4,15,7
mobile software tools,11,4,15,7
translation,9,2,11,7
communities,9,2,11,7
data security,7,0,7,7
human resources,18,12,30,6
virtualization,17,11,28,6
consumer electronics,14,8,22,6
gift card,13,7,20,6
accounting,11,5,16,6
online scheduling,11,5,16,6
tracking,11,5,16,6
internet of things,11,5,16,6
home & garden,11,5,16,6
meeting software,10,4,14,6
cloud management,9,3,12,6
social media management,8,2,10,6
navigation,8,2,10,6
language learning,7,1,8,6
p2p money transfer,6,0,6,6
communications hardware,6,0,6,6
finance technology,6,0,6,6
opinions,6,0,6,6
pets,6,0,6,6
cloud security,6,0,6,6
credit,6,0,6,6
entertainment,35,30,65,5
