country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
0,1953.0,2070,4.32588157,256.91443481,551,7.503891050583657,113.82214156079857,0.14519056261343016,0.3720508166969147,0.004484653,0.0050026495,0.01728,0.76394,0.2188,0.320694,1
1,2678.0,1917,167.90180292,173.05976862,3170,33.2185628742515,115.98643533123028,0.07728706624605679,1.1384858044164037,0.010133058,0.008741295,0.05461,0.7938,0.1516,0.14063499999999998,1
0,1644.0,1735,347.07091495,333.13595459,294,1.599067599067599,100.49659863945578,0.9421768707482994,0.07482993197278913,0.011636501,0.0098117329,0.07246,0.8345899999999999,0.09295,0.042841,1
0,1825.0,1644,0.0,0.0,169,3.9172185430463577,126.59763313609469,0.017751479289940832,0.3964497041420119,0.0031125587,0.0030506016,0.00678,0.96489,0.02833,0.043376,0
0,1071.0,1309,73.76274681,178.44514849,280,5.384615384615384,95.125,1.2678571428571428,0.2714285714285714,0.007327664599999999,0.005798478100000001,0.03649,0.8912100000000001,0.0623,0.046587,0
1,2678.0,2154,194.94025955,269.58455843,467,2.040574282147316,135.77516059957173,1.845824411134904,1.0942184154175592,0.018015277,0.015422918999999997,0.00119,0.81103,0.18778,0.285842,1
0,1248.0,1248,42.93952572,260.08759864,641,3.120305980528512,88.72854914196567,1.0202808112324493,0.1622464898595944,0.014945581,0.014253567,0.01444,0.8864200000000001,0.09914,0.120093,1
1,3651.0,716,363.54271102,276.2914648,1247,11.219794344473007,117.58540497193265,3.334402566158781,0.6519647153167603,0.011451906,0.0050855014,0.01014,0.90233,0.08755,0.16256600000000002,1
1,6453.0,1825,72.76274681,202.52018661,199,4.273006134969325,102.40201005025128,0.4170854271356784,0.9648241206030148,0.0053440286,0.0055639925,0.00514,0.87603,0.11884000000000003,0.156596,0
0,3135.0,2587,164.01838421,285.23396223,78,0.40960240060015,106.15384615384615,0.0,0.07692307692307693,0.013024387,0.01508096,0.026871795,0.88278205,0.090346154,0.098914103,1
0,1933.0,1460,304.17525968,285.23396223,46,0.4096692111959288,113.17391304347828,0.5217391304347826,0.3043478260869565,0.011225603999999998,0.011747796,0.008,0.83265217,0.11586957,0.19306957,1
1,2921.0,1787,347.07091495,333.13595459,453,3.2456499488229267,106.45695364238415,0.7969094922737306,1.0573951434878588,0.0087884534,0.0073722936,0.024,0.78871,0.18727,0.246011,1
1,4747.0,3270,56.20102889,246.73886413,1962,4.320226486316451,116.70030581039757,1.32059123343527,0.6564729867482161,0.0072775465,0.008804624,0.02743,0.87644,0.09617,0.098985,1
1,2100.0,1279,72.76274681,202.52018661,1725,10.78125,110.81217391304348,1.8776811594202896,0.3936231884057971,0.01166263,0.013054268,0.02499,0.73222,0.24279,0.321424,1
1,1825.0,1269,8.0,242.41695262,14,0.4117647058823529,114.57142857142857,0.8571428571428571,1.8571428571428568,0.0091345292,0.009149069,0.0,0.93471429,0.06528571400000001,0.10137143,0
0,2268.962166575939,859,163.59117581,285.23396223,231,1.438612099644128,128.55844155844156,1.6666666666666667,2.203463203463204,0.0044822292,0.0042067189,0.0107,0.81287,0.17643,0.26342,1
1,3651.0,3484,376.5596192,563.41880405,5156,9.663186077643909,98.7476726144298,0.5411171450737006,2.572536850271528,0.011654641,0.0062514939,0.01614,0.77572,0.20814,0.267145,1
1,1825.0,1842,494.3545654,202.52018661,2170,9.819004524886877,98.1852534562212,0.8488479262672811,0.507373271889401,0.0085184239,0.011073982,0.01744,0.74168,0.22088,0.347584,1
0,1917.0,1307,149.98314744,163.11061022,14358,86.64310344827587,90.9934531271765,1.5410920741050285,42.70065468728235,0.0088521475,0.0020891347,0.01769,0.96722,0.01508,0.004712,1
1,2556.0,1591,314.34953718,356.91184330000004,1476,5.609120521172638,120.8529810298103,1.8299457994579944,0.9735772357723578,0.010704963,0.011648555,0.02525,0.79374,0.181,0.22208000000000006,1
0,2268.962166575939,1022,83.27770612,232.91890995,929,17.865384615384613,116.03336921420885,2.6986006458557594,1.3229278794402584,0.0025249633,0.003042036,0.00187,0.98373,0.0144,0.0231,0
0,1582.0,1471,904.73031156,333.13595459,8189,42.21134020618557,92.430211259006,0.2094272804982293,3.433996825009159,0.011035036000000002,0.0043983432,0.0144,0.6978300000000001,0.28775,0.294678,1
0,1681.0,1401,-1.67411843,256.91443481,64,1.28,98.53125,0.65625,0.5625,0.012840617,0.014036969,0.1145625,0.7618125,0.123625,0.03128125,0
0,4017.0,3408,34.18379601,189.20131808,978,2.030851379412637,106.15337423312886,1.4550102249488752,1.9488752556237217,0.018604346,0.015522769,0.01785,0.7566,0.22553,0.326516,1
1,2251.0,1871,168.90180292,202.52018661,298,2.4512338425381905,105.05704697986576,1.0771812080536909,1.0402684563758389,0.014785603,0.014547376,0.0039,0.92313,0.07297000000000001,0.116594,1
1,2336.0,796,34.18379601,189.20131808,6201,41.93913043478261,93.52475407192387,2.338977584260604,11.051604579906463,0.015213702,0.013725136,0.02785,0.61314,0.35902,0.378413,1
0,1825.0,1006,11.24360203,162.70606017,76,1.2488262910798122,94.47368421052632,0.5263157894736842,1.5263157894736843,0.0098674037,0.0096858796,0.018631579,0.76431579,0.21705263,0.20891579,1
0,2556.0,1324,105.2422814,296.66775464,8898,77.47014925373135,65.02618565969881,1.0817037536525065,1254.6617217352216,0.011645838,0.010931377,0.11367,0.65455,0.18178,0.078761,1
1,1917.0,1752,116.38844747,277.92320571,78,0.9145728643216079,125.62820512820512,0.038461538461538464,0.19230769230769232,0.0083226059,0.010554462,0.017474359,0.78485897,0.19769231,0.28124359,1
